customer_message,brand_response,human_intent,human_decision,human_reason,simple_reply_pred,trivial_intent,trivial_decision,trivial_reply,simple_intent,simple_decision
"Amazonで買ったナイフ、刃厚6mmって書いてあったのに、届いてやけに薄いと思って測ったら4.5mmじゃねぇか！
勘弁してくれマジで",@635714 (2/2)なお、Amazonマーケットプレイスの出品者が発送する商品の場合は、お手数ですが、直接出品者にお問い合わせください。https://t.co/Gr4Zutk9FJ HM,DELIVERY_STATUS,AUTO_HANDLE,Rule-based Proxy,@635714 (2/2)なお、Amazonマーケットプレイスの出品者が発送する商品の場合は、お手数ですが、直接出品者にお問い合わせください。https://t.co/Gr4Zutk9FJ HM,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",DELIVERY_STATUS,AUTO_HANDLE
@AmazonHelp Okay I understand. But who won #motoG5Splus #MotoAppQuiz #AppDanceQuiz #MicromaxAppQuiz #GalaxyNote8AppQuiz  #Iphone8AppQuiz 🙏,"@403022 ""Winners announcement link"" under the contest details in the link provided above by ^HR. (2/2) ^KA",NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,"@403022 ""Winners announcement link"" under the contest details in the link provided above by ^HR. (2/2) ^KA",DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
@AmazonHelp All of the options were explored and still no package. It’s been 36 hours. What should I️ do now?,"@533146 We're still here for you! Please, reach us via phone/chat to explore options together: https://t.co/hApLpMlfHN ^JE",NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,"@533146 We're still here for you! Please, reach us via phone/chat to explore options together: https://t.co/hApLpMlfHN ^JE",DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
@115830 strikes again - thanks for the HUGE box that wouldn't go through my letterbox for one tiny bottle of nail polish #PrimeWaste https://t.co/B0XJYcIlRn,"@776275 I'm sorry for the trouble with delivery! We're always looking for ways to improve. Please give us your direct feedback here, https://t.co/G8ubAIp7iC, and let us know if you have further questions or concerns. ^TG",TECH_SUPPORT,AUTO_HANDLE,Rule-based Proxy,"@776275 I'm sorry for the trouble with delivery! We're always looking for ways to improve. Please give us your direct feedback here, https://t.co/G8ubAIp7iC, and let us know if you have further questions or concerns. ^TG",DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",TECH_SUPPORT,AUTO_HANDLE
@AmazonHelp There was only one costing a lot more than £20 and  FBA -stating eligibility !,"@116610 We'd like to take a look into this with you. When you have a moment, please reach out to us here: https://t.co/qy3J24VGxb ^AC",NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,"@116610 We'd like to take a look into this with you. When you have a moment, please reach out to us here: https://t.co/qy3J24VGxb ^AC",DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
@115821 how can I speak to a representative over the phone?,@269674 Hi Jade. I'm sorry for the late response and for the issues you're experiencing with your parcel! We'd like to look into this further with you here: https://t.co/JzP7hlA23B when you have the chance. ^HC,FOLLOW_UP,AUTO_HANDLE,Rule-based Proxy,@269674 Hi Jade. I'm sorry for the late response and for the issues you're experiencing with your parcel! We'd like to look into this further with you here: https://t.co/JzP7hlA23B when you have the chance. ^HC,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",FOLLOW_UP,AUTO_HANDLE
@AmazonHelp Thank you. Appreciate your help. And hope to see the difference in the app.,@441427 You're most welcome. ^HA,NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,@441427 You're most welcome. ^HA,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
@AmazonHelp All fake promises,@433764 I'm sorry for the hassle. Please share your details using the link mentioned earlier and we'll assist you accordingly. ^GD,NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,@433764 I'm sorry for the hassle. Please share your details using the link mentioned earlier and we'll assist you accordingly. ^GD,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
@AmazonHelp siii pero 4 décadas después y 20 años de casada... aún sigo dejando el zapato a ver si viene mi príncipe jajjaja https://t.co/b0lPo4Iv7J,"@468219 Los príncipes de la vida real son algo diferentes, lo verdaderamente importante es que tienes un amor real y hermoso❤️. ^AZ",NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,"@468219 Los príncipes de la vida real son algo diferentes, lo verdaderamente importante es que tienes un amor real y hermoso❤️. ^AZ",DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
"@115830 unable to deliver!orders! Last 7 out of 8 orders have not arrived next day and receive notifications lying staying delivery was attempted when it wasn’t and I was home the whole time...??? Losing all faith in amazon and see no point in PRIME, customer service sucks",@442103 I am so sorry for your poor experience with us! Please member One-day shipping refers to the amount of time it takes for the package to ship and not from the date ordered. You can find more information about here: https://t.co/Tok0IYZKAI ^LS,NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,@442103 I am so sorry for your poor experience with us! Please member One-day shipping refers to the amount of time it takes for the package to ship and not from the date ordered. You can find more information about here: https://t.co/Tok0IYZKAI ^LS,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
@AmazonHelp Oui ses un article prime . Mais toujours au min 2j .,"@356322 La livraison prime ne veut pas toujours dire en 1 jour, c'est selon la disponibilité. Plus d'infos : https://t.co/9FVf2Dclx6.
^KE",NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,"@356322 La livraison prime ne veut pas toujours dire en 1 jour, c'est selon la disponibilité. Plus d'infos : https://t.co/9FVf2Dclx6.
^KE",DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
@AmazonHelp Do it soon today i have to go home with package thats by i can subscribed ur two day delivery. But yesterday ur courier do wrong.,@478408 Apologies for the stretch. We'll give it a look and respond accordingly. Appreciate the patience. ^AB,NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,@478408 Apologies for the stretch. We'll give it a look and respond accordingly. Appreciate the patience. ^AB,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
@115850 why there is no COD or exchange available for #Sikkim.. are we not part of India?,@183849 exchange facility is subject to availability of a buyback partner at your location. I understand you're [2/3] ^HA,NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,@183849 exchange facility is subject to availability of a buyback partner at your location. I understand you're [2/3] ^HA,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
ヘッドホン届いた、アマゾンさんでけえよ箱 https://t.co/t2NkDuInw8,@441801 Amazonでは今後のサービス改善のため、梱包についてのご意見を承っております。よろしければ、リンクのヘルプページをご参照の上、ご意見をお送りください。https://t.co/r80cIFs9f6 TN,DELIVERY_STATUS,AUTO_HANDLE,Rule-based Proxy,@441801 Amazonでは今後のサービス改善のため、梱包についてのご意見を承っております。よろしければ、リンクのヘルプページをご参照の上、ご意見をお送りください。https://t.co/r80cIFs9f6 TN,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",DELIVERY_STATUS,AUTO_HANDLE
"@AmazonHelp Bonjour, oui c'est un retard. La livraison était prévue entre le 11 et le 14!","@385948 Je suis désolée d'apprendre cela .
Quel le transporteur qui prend en charge votre livraison je vous prie ? ^BR",NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,"@385948 Je suis désolée d'apprendre cela .
Quel le transporteur qui prend en charge votre livraison je vous prie ? ^BR",DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
@115821 why am I paying for prime when you can't get my packages here on time? #GiftsForAFamilyinNeed,"@240696 I'm sorry for the frustration, Stephanie! We'd like to help! Could you tell us more details about what's going on? ^HM",TECH_SUPPORT,AUTO_HANDLE,Rule-based Proxy,"@240696 I'm sorry for the frustration, Stephanie! We'd like to help! Could you tell us more details about what's going on? ^HM",DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",TECH_SUPPORT,AUTO_HANDLE
Amazonで購入した https://t.co/ow7734M2lp,@763161 (*´-`).｡oO（ご購入ありがとうございました！ごゆっくりお楽しみくださいませ～♪）TN,DELIVERY_STATUS,AUTO_HANDLE,Rule-based Proxy,@763161 (*´-`).｡oO（ご購入ありがとうございました！ごゆっくりお楽しみくださいませ～♪）TN,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",DELIVERY_STATUS,AUTO_HANDLE
"@AmazonHelp D'autant plus que c'est pas la première déception du prime, retards, livraisons imprécises, je continue d'espérer ne plus être déçus","@296163 Je transmets l'incident tout de suite au service en charge, afin que l'on puisse prendre les mesures nécessaires ! ^AR.",NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,"@296163 Je transmets l'incident tout de suite au service en charge, afin que l'on puisse prendre les mesures nécessaires ! ^AR.",DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
@115830 Can you tell me if there's a problem with my seller account? The next scheduled payment I'm to receive isn't the full amount and says my account may be under review but the only notification I have is bank account details changed in July?,"@239069 Thanks for reaching out, Taylor! Unfortunately, we don't have access to accounts here on Twitter. When you have a moment, please reach out to us here: https://t.co/xpxQnlDeCd ^EA",NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,"@239069 Thanks for reaching out, Taylor! Unfortunately, we don't have access to accounts here on Twitter. When you have a moment, please reach out to us here: https://t.co/xpxQnlDeCd ^EA",DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
@115821 8 days seems a little excessive for a crew neck sweater to get from Southern California to Northern California,@420868 Hey Matt! That's a little weird! Was that the date you were giving in your order confirmation email or was it changed after? ^AJ,DELIVERY_STATUS,AUTO_HANDLE,Rule-based Proxy,@420868 Hey Matt! That's a little weird! Was that the date you were giving in your order confirmation email or was it changed after? ^AJ,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",DELIVERY_STATUS,AUTO_HANDLE
@115850 hi can we not use Amazon pay balance to send Amazon gift card ??plz reply,@333182 I'm afraid we don't have an option to use pay balance to purchase gift card. ^AK,NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,@333182 I'm afraid we don't have an option to use pay balance to purchase gift card. ^AK,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
"Amazonとかしたことないのに、こんなん来たんやけど（笑）
これって迷惑メール的なやつ？ https://t.co/b9ZLJdPhnv",@603280 そちらのメールは、Amazonから送信しているものではございません。返信や電話などせず、破棄いただくことをお勧めいたします。正式なメールかどうかの識別方法については、こちらのヘルプページをご参照下さい。 https://t.co/29ojAwOl4C EK,DELIVERY_STATUS,AUTO_HANDLE,Rule-based Proxy,@603280 そちらのメールは、Amazonから送信しているものではございません。返信や電話などせず、破棄いただくことをお勧めいたします。正式なメールかどうかの識別方法については、こちらのヘルプページをご参照下さい。 https://t.co/29ojAwOl4C EK,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",DELIVERY_STATUS,AUTO_HANDLE
hey so my package says delivered but it wasnt delivered to me so what can i do about that @115821 @118706,@341535 Oh! I'm very sorry you haven't received your order yet. Please try these steps to help locate it: https://t.co/4vtXXzZLAx ^BH,NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,@341535 Oh! I'm very sorry you haven't received your order yet. Please try these steps to help locate it: https://t.co/4vtXXzZLAx ^BH,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
"@115821 I received my shipment today and both items were damaged, no packaging material in box (bubble wrap, air pockets). 😡 https://t.co/bEmwkU2oCJ",@253774 to be shipped by Amazon or a third-party? You can view this under the item name here: https://t.co/Y5jpI9gRhE ^HC (2/2),RETURN_REFUND,AUTO_HANDLE,Rule-based Proxy,@253774 to be shipped by Amazon or a third-party? You can view this under the item name here: https://t.co/Y5jpI9gRhE ^HC (2/2),DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",RETURN_REFUND,AUTO_HANDLE
@AmazonHelp I want this to be visible to public. You can check internally that your team has not taken any action!! They are not willing to reply!!,@337992 I understand your disappointment. We had forward your feedback internally for a review. Appreciate your patience. ^BS,NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,@337992 I understand your disappointment. We had forward your feedback internally for a review. Appreciate your patience. ^BS,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
"@115821 My card has been charged 3 times for prime membership I have cancelled 3x now. Out $321, still don't have the funds &amp; I can't access","@288299 Thanks for reaching out to us! We'd like to help! To begin, visit us here: https://t.co/p1lzLx5guU to view and cancel your Prime membership. ^TK",NON_ENGLISH,ESCALATE,Rule-based Proxy,"@288299 Thanks for reaching out to us! We'd like to help! To begin, visit us here: https://t.co/p1lzLx5guU to view and cancel your Prime membership. ^TK",DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,ESCALATE
"Wenn pro Stunde 1,27 GiB Speicherplatz erforderlich ist, warum belegt Man of Steel dann fast 13 GiB? #AmazonVideo","@219463 Wie kommst du auf die Zahl mit den 1,27 GB? ^MS",NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,"@219463 Wie kommst du auf die Zahl mit den 1,27 GB? ^MS",DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
"@AmazonHelp Problem reported first on Sep 26th ! Are you in the business of preaching patience, by any chance.  I guess yes ! It's more than 18 days !!!",@306166 Could you please check and confirm if you've received any correspondence from our side here: https://t.co/NTkrxpsbHJ ? ^AB,NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,@306166 Could you please check and confirm if you've received any correspondence from our side here: https://t.co/NTkrxpsbHJ ? ^AB,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
@AmazonHelp can you tell me where my parcel is? This is the note I got left...... https://t.co/XwlyIuXSrX,@285792 What does your tracking state in your order?^BD,NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,@285792 What does your tracking state in your order?^BD,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
@119625 Please try to adda more south Indian language movies especially Malayalam,"@409601 Further, I'll share your comments with our internal teams. Please stay tuned to our website. (2/2) ^SV",NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,"@409601 Further, I'll share your comments with our internal teams. Please stay tuned to our website. (2/2) ^SV",DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
@AmazonHelp 解決しました！案内ありがとうございました！,@307486 問題が解決した旨をお知らせいただきありがとうございます。安心いたしました。この度は、ご不便ならびにお手数をおかけいたしました。またのご利用をお待ちしております。ET,NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,@307486 問題が解決した旨をお知らせいただきありがとうございます。安心いたしました。この度は、ご不便ならびにお手数をおかけいたしました。またのご利用をお待ちしております。ET,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
@AmazonHelp Por aí vocês dizem que tem como receber por um banco no Brasil. Mas na hora de pagar me dizem que não tem banco disponível no Brasil.,@564942 Você recebeu alguma resposta da equipe de KDP? ^LG,NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,@564942 Você recebeu alguma resposta da equipe de KDP? ^LG,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
@AmazonHelp You've been selling harddrives for a decade and you STILL cant treat them as the fragile items they are?  What are you playing at?,"@352864 Apologies, please submit more packaging feedback about this here: https://t.co/fxgZ6hTrFA. ^JJ",NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,"@352864 Apologies, please submit more packaging feedback about this here: https://t.co/fxgZ6hTrFA. ^JJ",DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
"salut @AmazonHelp,  client prime, 1ere livraison jamais livrée, remboursée d'autorité.. 2eme essai, livraison le 14, mais toujours rien le 16. Le livreur s'appelle Amazon Logisitics et est localisé à Saran ;) le service verticalisé se dégrade, et on n'est pas encore à Noël.","@730251 Je suis déolée d'apprendre cela. Dans un souci permanent de qualité et d’efficacité, je vous invite à nous communiquer le numéro de suivi de votre commande.
^MD",NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,"@730251 Je suis déolée d'apprendre cela. Dans un souci permanent de qualité et d’efficacité, je vous invite à nous communiquer le numéro de suivi de votre commande.
^MD",DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
@AmazonHelp Problem is STILL unresolved.,"@375177 I understand your frustration. Without posting any personal/account info, can you tell me about the issue? ^GG",NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,"@375177 I understand your frustration. Without posting any personal/account info, can you tell me about the issue? ^GG",DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
(´Д｀) アマゾン( @116313 )のサイト、今日になって「欲しい物リスト」の並べ替え順がデフォルトと優先度だけになってる。安いもの順がないのは不便！商品をマウスで移動できるようになったのは便利だけど、だったら優先度っていらないじゃん。,@534375 ほしい物リストについてご意見をお寄せいただき、ありがとうございます。ご指摘いただいた点は担当部署に伝えさせていただき、今後もサービスや機能の改善に努めて参ります。 YM,DELIVERY_STATUS,AUTO_HANDLE,Rule-based Proxy,@534375 ほしい物リストについてご意見をお寄せいただき、ありがとうございます。ご指摘いただいた点は担当部署に伝えさせていただき、今後もサービスや機能の改善に努めて参ります。 YM,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",DELIVERY_STATUS,AUTO_HANDLE
"@AmazonHelp If it is Urban India, no matter what the courier service is I get the product bt now that you know there are two option for my rural pincode &amp; GATI is failing to deliver then why nt dispatch the item only with the one that delivers which is India Post. as simple as tht","@266005 I certainly get your point, Deepti. We'd like to have a closer look into this, kindly drop in your details here: https://t.co/beaaDm0muc and we'll have this checked at the earliest. ^EM",NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,"@266005 I certainly get your point, Deepti. We'd like to have a closer look into this, kindly drop in your details here: https://t.co/beaaDm0muc and we'll have this checked at the earliest. ^EM",DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
"@116928 2 días esperando 1 paquete , dicen q ayer pasaron y a esa hora yo estaba firmando una carta certificada en casa @135806","@150776 Hola Iratxe, lamento mucho saber que no has recibido tu pedido. @137605, ¿podrían ayudarnos con esta entrega? Si no recibes respuesta, avísanos. ^LG",NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,"@150776 Hola Iratxe, lamento mucho saber que no has recibido tu pedido. @137605, ¿podrían ayudarnos con esta entrega? Si no recibes respuesta, avísanos. ^LG",DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
@AmazonHelp Only on LTE,"@521660 That's interesting, have you tried some of these trouble shooting steps? https://t.co/cYnMv8A0sa Let us know if this helps! ^LS",NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,"@521660 That's interesting, have you tried some of these trouble shooting steps? https://t.co/cYnMv8A0sa Let us know if this helps! ^LS",DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
@115850  @AmazonHelp @132995: No benefits of having a prime account :( when they will reschedule your 1 day delivery to 4 day!! Sad part!! https://t.co/eCusnysdYq,"@536642 I understand your concern regarding the delivery of your product. We have responded to your query here: https://t.co/Gz8MQygMam, please check and share your details. We will look into it. 1/2 ^AH",NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,"@536642 I understand your concern regarding the delivery of your product. We have responded to your query here: https://t.co/Gz8MQygMam, please check and share your details. We will look into it. 1/2 ^AH",DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
"アマゾンの薄い箱が好き(*´ω`*)

フゥスケの重さで壊れかけてるけど(ﾟωﾟ)

＃ブリティッシュショートヘア https://t.co/CHi5HoxdOQ",@504285 (*´Д｀*)｡oO(最高です...特に上からの角度が....!😍) YM,DELIVERY_STATUS,AUTO_HANDLE,Rule-based Proxy,@504285 (*´Д｀*)｡oO(最高です...特に上からの角度が....!😍) YM,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",DELIVERY_STATUS,AUTO_HANDLE
@AmazonHelp I'm on the link ed chat now and am being told it is the wrong place. This is the linked page I clicked from. https://t.co/0muyW6JQHx,"@601148 Ian, were you told by the representative you were in the wrong place or you received an error message? ^VF",NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,"@601148 Ian, were you told by the representative you were in the wrong place or you received an error message? ^VF",DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
@AmazonHelp Called c/s Andrew took care of thank you!,@580498 I'm happy to hear this! Let us know if we can be of any further assistance! :D ^MW,NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,@580498 I'm happy to hear this! Let us know if we can be of any further assistance! :D ^MW,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
"@115821 Hi I want to order from your website, but am facing difficulties in reaching out to customer care for  I am located in India. Help.",@363980 We would like to assist you. Could you please elaborate your concern here? ^RW,NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,@363980 We would like to assist you. Could you please elaborate your concern here? ^RW,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
#AmazonIN I have been flooded with emails detailing orders about which I have no clue. Repeated calls to customer care elicited no results.,@384925 I'd like to have a closer look at this. Please write to us here: https://t.co/GIJyeYqKE0 and I'll reach out to you. ^SA,NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,@384925 I'd like to have a closer look at this. Please write to us here: https://t.co/GIJyeYqKE0 and I'll reach out to you. ^SA,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
"@AmazonHelp Hi, my husband had contacted you 4 times about this by chat. It is still happening.","@137499 I'd like for a member of my team to look into this, Katy! Please send us your information here: https://t.co/mb1Hx8qEVI ^AB",NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,"@137499 I'd like for a member of my team to look into this, Katy! Please send us your information here: https://t.co/mb1Hx8qEVI ^AB",DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
えーAmazonって発売前のモノ注文して発売日もしくはその後2日以内に届かないのー！？,@403633 失礼いたします。アマゾンでは、ご予約商品をできる限り早くお届けするよう努めておりますが、商品の詳細ページに発売日当日のお届けの記載がある場合を除き、発売日当日のお届けは確約できません。お届け予定最終日までお待ちいただきますようお願いいたします。HM,DELIVERY_STATUS,AUTO_HANDLE,Rule-based Proxy,@403633 失礼いたします。アマゾンでは、ご予約商品をできる限り早くお届けするよう努めておりますが、商品の詳細ページに発売日当日のお届けの記載がある場合を除き、発売日当日のお届けは確約できません。お届け予定最終日までお待ちいただきますようお願いいたします。HM,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",DELIVERY_STATUS,AUTO_HANDLE
アマゾンさん宅急便で千葉県から6日間経過したがいまだに到着せず！荷物番号ありで追跡出来ないのも怪しい？いつもの紛失かな？,@705494 なお、Amazonマーケットプレイスの出品者が発送する商品の場合は、恐れ入りますが、出品者に直接お問い合わせください。出品者へのお問い合わせ方法はこちらをご参照ください。https://t.co/ZXCXcbN3Tv TN,DELIVERY_STATUS,AUTO_HANDLE,Rule-based Proxy,@705494 なお、Amazonマーケットプレイスの出品者が発送する商品の場合は、恐れ入りますが、出品者に直接お問い合わせください。出品者へのお問い合わせ方法はこちらをご参照ください。https://t.co/ZXCXcbN3Tv TN,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",DELIVERY_STATUS,AUTO_HANDLE
"@115850 what's wrong with you guys, it's been 4days &amp; product was not dispatched yet &amp; the expected delivery date is 24-27 Nov, how funny it is? https://t.co/E1cKnvsRJn","@140019 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. (2/2) ^SV",NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,"@140019 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. (2/2) ^SV",DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
@AmazonHelp あと何時間後くらいに届きます？,@480172 恐れ入りますが、Amazonでは現在の配達状況が直接的にはわかりかねます。何時間後に届くかは配送業者にご確認下さい。 EK,NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,@480172 恐れ入りますが、Amazonでは現在の配達状況が直接的にはわかりかねます。何時間後に届くかは配送業者にご確認下さい。 EK,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
@AmazonHelp Of course ..you are also from the much helpless Amazon customer service. Email I'd - __email__  order I'd 407-8822840-1015525,@351670 We'd like to help! Please share your details on the link here: https://t.co/GIJyeYqKE0 and we'll contact you soon. 1/2 ^PS,NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,@351670 We'd like to help! Please share your details on the link here: https://t.co/GIJyeYqKE0 and we'll contact you soon. 1/2 ^PS,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
@120540 in ottobre servizio PRIME  PESSIMO arriva dopo DUE giorni 🤢😡😡😡😡😡😡😡,@494501 Mi spiace! La data di consegna del tuo ordine è già trascorsa? ^FS,TECH_SUPPORT,AUTO_HANDLE,Rule-based Proxy,@494501 Mi spiace! La data di consegna del tuo ordine è già trascorsa? ^FS,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",TECH_SUPPORT,AUTO_HANDLE
@115830  you delivered a package without the game in &amp; your driver attempted to tape it up! What a joke! https://t.co/cD7W8iv7vO,@723374 I'm sorry for this experience! Please give us a ring here: https://t.co/JzP7hlA23B so we can look into this matter with you. ^TR,NON_ENGLISH,AUTO_HANDLE,Rule-based Proxy,@723374 I'm sorry for this experience! Please give us a ring here: https://t.co/JzP7hlA23B so we can look into this matter with you. ^TR,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",NON_ENGLISH,AUTO_HANDLE
Amazonプライムの戦闘車とかいうやつが見てみたい,@158524 ぜひご視聴ください！(っ´∀｀)っ https://t.co/lGL0Qg1tfI TN,DELIVERY_STATUS,AUTO_HANDLE,Rule-based Proxy,@158524 ぜひご視聴ください！(っ´∀｀)っ https://t.co/lGL0Qg1tfI TN,DELIVERY_STATUS,ESCALATE,"Thanks for reaching out, please DM your order number.",DELIVERY_STATUS,AUTO_HANDLE
